"Age","BusinessTravel","DailyRate","DistanceFromHome","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","Attrition"
38,"Travel_Rarely",1321,1,4,"Male",86,3,2,2,"Married",4440,7636,0,"No",15,3,1,2,16,3,3,15,13,5,8,"No"
52,"Travel_Rarely",258,8,3,"Female",54,3,1,1,"Married",2950,17363,9,"No",13,3,3,0,12,2,1,5,4,0,4,"No"
35,"Travel_Rarely",672,25,4,"Male",78,2,3,2,"Married",10903,9129,3,"No",16,3,1,0,16,2,3,13,10,4,8,"No"
37,"Travel_Rarely",1225,10,4,"Male",80,4,1,4,"Single",4680,15232,3,"No",17,3,1,0,4,2,3,1,0,0,0,"No"
36,"Travel_Rarely",1425,14,3,"Male",68,3,2,4,"Married",6586,4821,0,"Yes",17,3,1,1,17,2,2,16,8,4,11,"No"
37,"Travel_Frequently",1231,21,3,"Female",54,3,1,4,"Married",2973,21222,5,"No",15,3,2,1,10,3,3,5,4,0,0,"No"
30,"Non-Travel",641,25,4,"Female",85,3,2,3,"Married",4736,6069,7,"Yes",12,3,2,1,4,2,4,2,2,2,2,"No"
41,"Travel_Rarely",1283,5,2,"Male",90,4,1,3,"Married",2127,5561,2,"Yes",12,3,1,0,7,5,2,4,2,0,3,"No"
30,"Travel_Rarely",946,2,3,"Female",52,2,2,4,"Single",6877,20234,5,"Yes",24,4,2,0,12,4,2,0,0,0,0,"No"
25,"Travel_Rarely",622,13,2,"Male",40,3,1,3,"Married",2096,26376,1,"No",11,3,3,0,7,1,3,7,4,0,6,"No"
32,"Non-Travel",862,2,3,"Female",76,3,1,1,"Divorced",2827,14947,1,"No",12,3,3,3,1,3,3,1,0,0,0,"No"
35,"Travel_Rarely",1395,9,2,"Male",48,3,2,3,"Single",5098,18698,1,"No",19,3,2,0,10,5,3,10,7,0,8,"No"
40,"Travel_Rarely",1202,2,2,"Female",89,4,2,3,"Divorced",6377,13888,5,"No",20,4,2,3,15,0,3,12,11,11,8,"No"
34,"Travel_Frequently",648,11,3,"Male",56,2,2,2,"Married",4490,21833,4,"No",11,3,4,2,14,5,4,10,9,1,8,"No"
55,"Travel_Rarely",478,2,3,"Male",60,2,5,1,"Married",19038,19805,8,"No",12,3,2,3,34,2,3,1,0,0,0,"No"
36,"Travel_Rarely",559,12,3,"Female",76,3,2,3,"Married",4663,12421,9,"Yes",12,3,2,2,7,2,3,3,2,1,1,"No"
40,"Travel_Rarely",369,8,2,"Female",92,3,2,1,"Married",6516,5041,2,"Yes",16,3,2,1,18,3,3,1,0,0,0,"No"
39,"Travel_Rarely",1329,4,4,"Female",47,2,2,3,"Married",5902,14590,4,"No",14,3,3,1,17,1,4,15,11,5,9,"No"
42,"Travel_Rarely",462,14,3,"Female",68,2,2,3,"Single",6244,7824,7,"No",17,3,1,0,10,6,3,5,4,0,3,"No"
35,"Non-Travel",1212,8,3,"Female",78,2,3,4,"Married",10377,13755,4,"Yes",11,3,2,1,16,6,2,13,2,4,12,"No"
34,"Travel_Rarely",735,3,4,"Female",75,2,2,4,"Married",8103,16495,3,"Yes",12,3,3,0,9,3,2,4,2,0,1,"No"
34,"Travel_Rarely",704,28,4,"Female",95,2,2,3,"Married",6712,8978,1,"No",21,4,4,2,8,2,3,8,7,1,7,"No"
37,"Travel_Rarely",1115,1,1,"Male",51,2,2,3,"Divorced",5993,2689,1,"No",18,3,3,1,7,2,4,7,5,0,7,"No"
53,"Travel_Rarely",1223,7,4,"Female",50,3,5,3,"Divorced",18606,18640,3,"No",18,3,2,1,26,6,3,7,7,4,7,"No"
37,"Travel_Rarely",674,13,1,"Male",47,3,2,4,"Married",4285,3031,1,"No",17,3,1,0,10,2,3,10,8,3,7,"No"
36,"Travel_Frequently",541,3,1,"Male",48,2,3,4,"Married",9699,7246,4,"No",11,3,1,1,16,2,3,13,9,1,12,"No"
30,"Travel_Rarely",413,7,4,"Male",57,3,1,2,"Single",2983,18398,0,"No",14,3,1,0,4,3,3,3,2,1,2,"No"
37,"Travel_Rarely",674,13,1,"Male",47,3,2,4,"Married",4285,3031,1,"No",17,3,1,0,10,2,3,10,8,3,7,"No"
31,"Travel_Rarely",311,20,2,"Male",89,3,2,3,"Divorced",4197,18624,1,"No",11,3,1,1,10,2,3,10,8,0,2,"No"
32,"Travel_Rarely",906,7,4,"Male",91,2,2,3,"Married",5484,16985,1,"No",14,3,3,1,13,3,2,13,8,4,8,"No"
37,"Travel_Rarely",1225,10,4,"Male",80,4,1,4,"Single",4680,15232,3,"No",17,3,1,0,4,2,3,1,0,0,0,"No"
47,"Travel_Rarely",249,2,3,"Female",35,3,2,4,"Married",4537,17783,0,"Yes",22,4,1,1,8,2,3,7,6,7,7,"No"
36,"Travel_Rarely",1266,10,2,"Female",63,2,2,3,"Married",5673,6060,1,"Yes",13,3,1,1,10,4,3,10,9,1,7,"No"
34,"Travel_Rarely",304,2,4,"Male",60,3,2,4,"Single",6274,18686,1,"No",22,4,3,0,6,5,3,6,5,1,4,"No"
34,"Travel_Rarely",1333,10,3,"Female",87,3,1,3,"Married",2220,18410,1,"Yes",19,3,4,1,1,2,3,1,1,0,0,"No"
50,"Travel_Rarely",328,1,3,"Male",86,2,1,3,"Married",3690,3425,2,"No",15,3,4,1,5,2,2,3,2,0,2,"No"
46,"Travel_Frequently",1211,5,1,"Male",98,3,2,4,"Single",5772,20445,4,"Yes",21,4,3,0,14,4,3,9,6,0,8,"No"
30,"Travel_Rarely",241,7,2,"Male",48,2,1,2,"Married",2141,5348,1,"No",12,3,2,1,6,3,2,6,4,1,1,"No"
50,"Travel_Frequently",1246,3,1,"Male",99,3,5,2,"Married",18200,7999,1,"No",11,3,3,1,32,2,3,32,5,10,7,"No"
34,"Travel_Rarely",304,2,4,"Male",60,3,2,4,"Single",6274,18686,1,"No",22,4,3,0,6,5,3,6,5,1,4,"No"
59,"Travel_Rarely",1435,25,1,"Female",99,3,3,1,"Single",7637,2354,7,"No",11,3,4,0,28,3,2,21,16,7,9,"No"
32,"Travel_Rarely",929,10,4,"Male",55,3,2,4,"Single",5396,21703,1,"No",12,3,4,0,10,2,2,10,7,0,8,"No"
35,"Travel_Frequently",636,4,4,"Male",47,2,1,4,"Married",2376,26537,1,"No",13,3,2,1,2,2,4,2,2,2,2,"No"
31,"Travel_Rarely",182,8,1,"Female",93,3,4,2,"Single",16422,8847,3,"No",11,3,3,0,9,3,4,3,2,1,0,"No"
39,"Travel_Rarely",116,24,1,"Male",52,3,2,4,"Single",4108,5340,7,"No",13,3,1,0,18,2,3,7,7,1,7,"No"
44,"Non-Travel",981,5,3,"Male",90,2,1,3,"Single",3162,7973,3,"No",14,3,4,0,7,5,3,5,2,0,3,"No"
22,"Non-Travel",1123,16,4,"Male",96,4,1,4,"Divorced",2935,7324,1,"Yes",13,3,2,2,1,2,2,1,0,0,0,"No"
33,"Travel_Rarely",654,5,4,"Male",34,2,3,4,"Divorced",7119,21214,4,"No",15,3,3,1,9,2,3,3,2,1,2,"No"
35,"Travel_Rarely",1370,27,4,"Male",49,3,2,3,"Married",6883,5151,2,"No",16,3,2,1,17,3,3,7,7,0,7,"No"
33,"Travel_Rarely",392,2,4,"Male",93,3,2,4,"Divorced",5505,3921,1,"No",14,3,3,2,6,5,3,6,2,0,4,"No"
36,"Travel_Rarely",922,3,1,"Female",39,3,1,4,"Divorced",2835,2561,5,"No",22,4,1,1,7,2,3,1,0,0,0,"No"
41,"Travel_Rarely",483,6,4,"Male",95,2,2,2,"Single",6032,10110,6,"Yes",15,3,4,0,8,3,3,5,4,1,2,"No"
22,"Travel_Rarely",581,1,4,"Male",63,3,1,3,"Single",3375,17624,0,"No",12,3,4,0,4,2,4,3,2,1,2,"No"
37,"Travel_Rarely",1115,1,1,"Male",51,2,2,3,"Divorced",5993,2689,1,"No",18,3,3,1,7,2,4,7,5,0,7,"No"
44,"Travel_Rarely",170,1,2,"Male",78,4,2,1,"Married",5033,9364,2,"No",15,3,4,1,10,5,3,2,0,2,2,"No"
44,"Travel_Rarely",136,28,4,"Male",32,3,4,1,"Married",16328,22074,3,"No",13,3,3,1,24,1,4,20,6,14,17,"No"
37,"Travel_Frequently",889,9,2,"Male",53,3,1,4,"Married",2326,11411,1,"Yes",12,3,3,3,4,3,2,4,2,1,2,"No"
23,"Travel_Rarely",160,4,3,"Female",51,3,1,2,"Single",3295,12862,1,"No",13,3,3,0,3,3,1,3,2,1,2,"No"
38,"Travel_Frequently",240,2,1,"Female",75,4,2,1,"Single",5980,26085,6,"Yes",12,3,4,0,17,2,3,15,7,4,12,"No"
29,"Travel_Rarely",657,27,2,"Female",66,3,2,3,"Married",4335,25549,4,"No",12,3,1,1,11,3,2,8,7,1,1,"No"
40,"Travel_Frequently",1469,9,4,"Male",35,3,1,2,"Divorced",3617,25063,8,"Yes",14,3,4,1,3,2,3,1,1,0,0,"No"
50,"Travel_Frequently",1421,2,4,"Female",30,3,4,1,"Married",17856,9490,2,"No",22,4,3,1,32,3,3,2,2,2,2,"No"
35,"Non-Travel",727,3,3,"Male",41,2,1,3,"Married",1281,16900,1,"No",18,3,3,2,1,3,3,1,0,0,0,"No"
34,"Non-Travel",1065,23,2,"Male",72,3,2,3,"Single",4568,10034,0,"No",20,4,3,0,10,2,3,9,5,8,7,"No"
31,"Non-Travel",325,5,2,"Male",74,3,2,1,"Single",9936,3787,0,"No",19,3,2,0,10,2,3,9,4,1,7,"No"
30,"Travel_Rarely",911,1,4,"Male",76,3,1,2,"Married",3748,4077,1,"No",13,3,3,0,12,6,2,12,8,1,7,"No"
31,"Travel_Frequently",793,20,3,"Male",67,4,1,4,"Married",2791,21981,0,"No",12,3,1,1,3,4,3,2,2,2,2,"No"
35,"Travel_Rarely",662,1,3,"Male",94,3,3,2,"Married",7295,11439,1,"No",13,3,1,2,10,3,3,10,8,0,6,"No"
23,"Travel_Rarely",1309,26,3,"Male",83,3,1,4,"Divorced",2904,16092,1,"No",12,3,3,2,4,2,2,4,2,0,2,"No"
53,"Non-Travel",661,1,1,"Female",60,2,4,3,"Married",12965,22308,4,"Yes",20,4,4,3,27,2,2,3,2,0,2,"No"
33,"Travel_Rarely",589,28,2,"Male",79,3,2,3,"Married",5207,22949,1,"Yes",12,3,2,1,15,3,3,15,14,5,7,"No"
30,"Travel_Rarely",153,8,2,"Female",73,4,3,1,"Married",11416,17802,0,"Yes",12,3,3,3,9,4,2,8,7,1,7,"No"
44,"Non-Travel",111,17,4,"Male",74,1,1,3,"Single",2290,4279,2,"No",13,3,4,0,6,3,3,0,0,0,0,"No"
21,"Travel_Rarely",391,15,3,"Male",96,3,1,4,"Single",1232,19281,1,"No",14,3,4,0,0,6,3,0,0,0,0,"No"
40,"Travel_Frequently",1469,9,4,"Male",35,3,1,2,"Divorced",3617,25063,8,"Yes",14,3,4,1,3,2,3,1,1,0,0,"No"
55,"Travel_Rarely",836,8,4,"Female",33,3,4,3,"Divorced",14756,19730,2,"Yes",14,3,3,3,21,2,3,5,0,0,2,"No"
49,"Travel_Rarely",527,8,1,"Female",51,3,3,2,"Married",7403,22477,4,"No",11,3,3,1,29,3,2,26,9,1,7,"No"
51,"Travel_Frequently",968,6,2,"Female",40,2,1,3,"Single",2838,4257,0,"No",14,3,2,0,8,6,2,7,0,7,7,"No"
27,"Travel_Rarely",205,10,4,"Female",98,2,2,4,"Married",5769,7100,1,"Yes",11,3,4,0,6,3,3,6,2,4,4,"No"
43,"Travel_Frequently",957,28,2,"Female",72,4,1,3,"Single",4739,16090,4,"No",12,3,4,0,18,2,3,3,2,1,2,"No"
46,"Travel_Rarely",644,1,4,"Male",97,3,3,1,"Divorced",9396,12368,7,"No",16,3,3,1,17,3,3,4,2,0,3,"No"
29,"Travel_Rarely",592,7,4,"Male",59,3,1,1,"Single",2062,19384,3,"No",14,3,2,0,11,2,3,3,2,1,2,"No"
38,"Travel_Rarely",1380,9,3,"Female",75,3,1,4,"Single",2288,6319,1,"No",12,3,3,0,2,3,3,2,2,2,1,"No"
35,"Travel_Rarely",1029,16,4,"Female",91,2,3,2,"Single",8606,21195,1,"No",19,3,4,0,11,3,1,11,8,3,3,"No"
39,"Travel_Rarely",119,15,2,"Male",77,3,4,1,"Single",13341,25098,0,"No",12,3,1,0,21,3,3,20,8,11,10,"No"
36,"Travel_Frequently",1195,11,2,"Male",95,2,2,2,"Single",6499,22656,1,"No",13,3,3,0,6,3,3,6,5,0,3,"No"
33,"Travel_Rarely",924,2,3,"Male",78,3,1,4,"Single",2496,6670,4,"No",11,3,4,0,7,3,3,1,1,0,0,"No"
36,"Travel_Rarely",506,3,3,"Male",30,3,2,2,"Single",4485,26285,4,"No",12,3,4,0,10,2,3,8,0,7,7,"No"
42,"Travel_Rarely",265,5,4,"Male",90,3,5,3,"Married",18303,7770,6,"No",13,3,2,0,21,3,4,1,0,0,0,"No"
34,"Travel_Frequently",735,22,3,"Male",86,2,2,4,"Married",5747,26496,1,"Yes",15,3,2,0,16,3,3,15,10,6,11,"No"
27,"Travel_Frequently",472,1,3,"Male",60,2,2,1,"Married",4298,9679,5,"No",19,3,3,1,6,1,3,2,2,2,0,"No"
37,"Travel_Rarely",1017,1,3,"Female",83,2,1,1,"Married",3920,18697,2,"No",14,3,1,1,17,2,2,3,1,0,2,"No"
59,"Travel_Rarely",326,3,3,"Female",48,2,2,4,"Single",5171,16490,5,"No",17,3,4,0,13,2,3,6,1,0,5,"No"
44,"Travel_Rarely",528,1,3,"Female",44,3,1,4,"Divorced",3195,4167,4,"Yes",18,3,1,3,8,2,3,2,2,2,2,"No"
40,"Travel_Rarely",611,7,2,"Male",88,3,5,2,"Single",19833,4349,1,"No",14,3,2,0,21,3,2,21,8,12,8,"No"
37,"Travel_Rarely",1470,10,2,"Female",71,3,1,2,"Married",3936,9953,1,"No",11,3,1,1,8,2,1,8,4,7,7,"No"
46,"Travel_Rarely",705,2,2,"Female",83,3,5,1,"Single",18947,22822,3,"No",12,3,4,0,22,2,2,2,2,2,1,"No"
31,"Travel_Rarely",1398,8,4,"Female",96,4,1,2,"Single",2109,24609,9,"No",18,3,4,0,8,3,3,3,2,0,2,"No"
44,"Travel_Rarely",528,1,3,"Female",44,3,1,4,"Divorced",3195,4167,4,"Yes",18,3,1,3,8,2,3,2,2,2,2,"No"
30,"Travel_Rarely",852,10,3,"Male",72,2,2,3,"Married",6578,2706,1,"No",18,3,1,1,10,3,3,10,3,1,4,"No"
38,"Non-Travel",152,10,3,"Female",85,3,2,4,"Single",5666,19899,1,"Yes",13,3,2,0,6,1,3,5,3,1,3,"No"
52,"Non-Travel",771,2,1,"Male",79,2,5,3,"Single",19068,21030,1,"Yes",18,3,4,0,33,2,4,33,7,15,12,"No"
26,"Travel_Rarely",1355,25,3,"Female",61,3,1,3,"Married",2942,8916,1,"No",23,4,4,1,8,3,3,8,7,5,7,"No"
39,"Travel_Rarely",1431,1,3,"Female",96,3,1,3,"Divorced",2232,15417,7,"No",14,3,3,3,7,1,3,3,2,1,2,"No"
27,"Travel_Rarely",1240,2,4,"Female",33,3,1,1,"Divorced",2341,19715,1,"No",13,3,4,1,1,6,3,1,0,0,0,"No"
44,"Travel_Frequently",383,1,1,"Female",79,3,2,3,"Married",4768,9282,7,"No",12,3,3,1,11,4,2,1,0,0,0,"No"
23,"Travel_Rarely",977,10,4,"Male",45,4,1,3,"Married",2073,12826,2,"No",16,3,4,1,4,2,3,2,2,2,2,"No"
33,"Non-Travel",775,4,4,"Male",90,3,2,2,"Divorced",3055,6194,5,"No",15,3,4,2,11,2,2,9,8,1,7,"No"
32,"Non-Travel",300,1,4,"Male",61,3,1,4,"Divorced",2314,9148,0,"No",12,3,2,1,4,2,3,3,0,0,2,"No"
27,"Travel_Rarely",269,5,3,"Male",42,2,3,4,"Divorced",12808,8842,1,"Yes",16,3,2,1,9,3,3,9,8,0,8,"No"
35,"Travel_Rarely",1361,17,3,"Male",94,3,2,1,"Married",8966,21026,3,"Yes",15,3,4,3,15,2,3,7,7,1,7,"No"
43,"Travel_Rarely",1179,2,4,"Male",73,3,2,4,"Married",7847,6069,1,"Yes",17,3,1,1,10,3,3,10,9,8,8,"No"
27,"Travel_Frequently",591,2,4,"Male",87,3,1,4,"Single",2580,6297,2,"No",13,3,3,0,6,0,2,4,2,1,2,"No"
24,"Travel_Rarely",823,17,4,"Male",94,2,1,2,"Married",2127,9100,1,"No",21,4,4,1,1,2,3,1,0,0,0,"No"
25,"Travel_Rarely",977,2,4,"Male",57,3,1,3,"Divorced",3977,7298,6,"Yes",19,3,3,1,7,2,2,2,2,0,2,"No"
40,"Travel_Rarely",329,1,2,"Male",88,3,1,2,"Married",2387,6762,3,"No",22,4,3,1,7,3,3,4,2,0,3,"No"
34,"Travel_Rarely",546,10,2,"Male",83,3,1,2,"Divorced",2008,6896,1,"No",14,3,2,2,1,3,3,1,0,1,0,"No"
59,"Travel_Rarely",326,3,3,"Female",48,2,2,4,"Single",5171,16490,5,"No",17,3,4,0,13,2,3,6,1,0,5,"No"
26,"Travel_Rarely",1349,23,1,"Female",90,3,1,4,"Divorced",2886,3032,1,"No",22,4,2,2,3,3,1,3,2,0,2,"No"
33,"Travel_Rarely",1099,4,1,"Female",82,2,1,2,"Married",3838,8192,8,"No",11,3,4,0,8,5,3,5,4,0,2,"No"
33,"Travel_Rarely",217,10,2,"Male",43,3,2,3,"Single",5487,10410,1,"No",14,3,2,0,10,2,2,10,4,0,9,"No"
42,"Travel_Rarely",1147,10,3,"Female",31,3,4,1,"Married",16799,16616,0,"No",14,3,3,1,21,5,3,20,7,0,9,"No"
37,"Travel_Rarely",228,6,3,"Male",98,3,2,4,"Married",6502,22825,4,"No",14,3,2,1,7,5,4,5,4,0,1,"No"
35,"Travel_Rarely",1017,6,2,"Male",82,1,2,4,"Single",6646,19368,1,"No",13,3,2,0,17,3,3,17,11,11,8,"No"
31,"Travel_Rarely",140,12,3,"Female",95,3,1,4,"Married",3929,6984,8,"Yes",23,4,3,1,7,0,3,4,2,0,2,"No"
